#! FIELDS time phi psi metad.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 0.000000 -1.256673 2.876746 0.000000
 0.020000 -1.145857 2.904938 0.000000
 0.040000 -1.442611 2.958937 0.000000
 0.060000 -1.408506 3.115770 0.000000
 0.080000 -1.625154 2.966884 0.000000
 0.100000 -1.702295 2.888236 0.000000
 0.120000 -1.954766 3.015783 0.000000
 0.140000 -2.184711 2.892510 0.000000
 0.160000 -2.300493 2.861906 0.000000
 0.180000 -2.465018 2.576092 0.000000
 0.200000 -2.718336 2.425417 0.000000
 0.220000 -2.865961 2.384496 0.000000
 0.240000 -2.887790 2.248306 0.000000
 0.260000 -2.953094 2.284614 0.000000
 0.280000 -2.886075 2.290723 0.000000
 0.300000 -2.944245 2.179004 0.000000
 0.320000 -2.735822 2.302324 0.000000
 0.340000 -2.680216 2.488435 0.000000
 0.360000 -2.446036 2.465740 0.000000
 0.380000 -2.320249 2.647901 0.000000
 0.400000 -2.335214 2.670349 0.000000
 0.420000 -2.449853 2.610327 0.000000
 0.440000 -2.136275 2.786262 0.000000
 0.460000 -2.140053 2.642224 0.000000
 0.480000 -1.923926 2.878764 0.000000
 0.500000 -2.008104 2.767155 0.000000
 0.520000 -2.005112 2.725169 0.000000
 0.540000 -1.741061 2.794848 0.000000
 0.560000 -1.966127 2.787383 0.000000
 0.580000 -1.776945 2.796759 0.000000
 0.600000 -2.015246 2.711391 0.000000
 0.620000 -1.977369 2.766102 0.000000
 0.640000 -1.754236 2.728817 0.000000
 0.660000 -1.898189 2.694245 0.000000
 0.680000 -1.858410 2.738809 0.000000
 0.700000 -1.867223 2.759813 0.000000
 0.720000 -1.756323 2.591948 0.000000
 0.740000 -1.860122 2.426652 0.000000
 0.760000 -1.776959 2.389255 0.000000
 0.780000 -1.962429 2.452150 0.000000
 0.800000 -1.854406 2.394528 0.000000
 0.820000 -1.961782 2.316902 0.000000
 0.840000 -2.162580 2.172243 0.000000
 0.860000 -2.239405 2.272419 0.000000
 0.880000 -2.314841 2.210552 0.000000
 0.900000 -2.380106 2.242094 0.000000
 0.920000 -2.320754 2.069604 0.000000
 0.940000 -2.319266 2.054668 0.000000
 0.960000 -2.521373 2.119175 0.000000
 0.980000 -2.365610 2.063793 0.000000
 1.000000 -2.313841 2.273215 0.000000
 1.020000 -2.423818 2.311092 1.176237
 1.040000 -2.269747 2.690373 1.196149
 1.060000 -2.471027 2.689073 1.151976
 1.080000 -2.533962 2.684254 1.107634
 1.100000 -2.377927 2.813819 1.191881
 1.120000 -2.390933 2.984208 1.188269
 1.140000 -2.488300 2.940511 1.141124
 1.160000 -2.284662 2.975210 1.198311
 1.180000 -2.346354 -3.129448 1.197894
 1.200000 -2.500796 3.129466 1.132637
 1.220000 -2.465180 3.111390 1.155414
 1.240000 -2.854231 2.936349 0.740557
 1.260000 -2.872591 -3.080925 0.716264
 1.280000 -3.016092 3.122244 0.531098
 1.300000 -3.011940 2.932465 0.536228
 1.320000 -2.965079 2.829279 0.595308
 1.340000 -2.753645 2.935125 0.871628
 1.360000 -2.652664 2.910643 0.992592
 1.380000 -2.385185 2.780298 1.189946
 1.400000 -2.230988 2.876433 1.186449
 1.420000 -2.197883 2.794514 1.173615
 1.440000 -2.002311 2.841557 1.022144
 1.460000 -1.966346 2.648056 0.982878
 1.480000 -1.933206 2.548587 0.944448
 1.500000 -1.910753 2.574405 0.917374
 1.520000 -2.000671 2.363802 1.020414
 1.540000 -2.055205 2.254648 1.074393
 1.560000 -1.820955 2.182068 0.803142
 1.580000 -1.902640 2.188170 0.907411
 1.600000 -1.765414 2.082601 0.729922
 1.620000 -1.883045 1.975212 0.883000
 1.640000 -1.806560 1.685373 0.784256
 1.660000 -1.693582 1.738467 0.635355
 1.680000 -1.516744 1.704197 0.419847
 1.700000 -1.505704 1.499187 0.407728
 1.720000 -1.486240 1.593745 0.386831
 1.740000 -1.437939 1.407155 0.337642
 1.760000 -1.435997 1.359735 0.335746
 1.780000 -1.077171 1.061152 0.095796
 1.800000 -1.155691 1.041622 0.130718
 1.820000 -1.157140 1.023559 0.131445
 1.840000 -1.245938 0.963492 0.182201
 1.860000 -1.300133 0.979276 0.219546
 1.880000 -1.582585 0.881142 0.495830
 1.900000 -1.629709 0.875673 0.553611
 1.920000 -1.903622 0.876863 0.908622
 1.940000 -1.745233 0.752666 0.703222
 1.960000 -1.516837 0.758358 0.419949
 1.980000 -1.638269 0.738772 0.564367
 2.000000 -1.357559 0.650918 0.264693
 2.020000 -1.435348 0.692858 1.509238
 2.040000 -1.452489 0.634435 1.520438
 2.060000 -1.611338 0.676814 1.596961
 2.080000 -1.385876 0.765138 1.473450
 2.100000 -1.185198 0.569757 1.275245
 2.120000 -1.084923 0.697416 1.147695
 2.140000 -1.216418 0.660739 1.311446
 2.160000 -1.333906 0.694237 1.430222
 2.180000 -1.168427 0.789001 1.255057
 2.200000 -1.442661 0.841468 1.514091
 2.220000 -1.636767 1.090450 1.605030
 2.240000 -1.540186 1.041264 1.568518
 2.260000 -1.522264 1.064048 1.559909
 2.280000 -1.282835 1.022305 1.382115
 2.300000 -1.063209 1.002864 1.118149
 2.320000 -1.180538 1.018679 1.269686
 2.340000 -1.179703 1.139561 1.268687
 2.360000 -0.954110 1.067185 0.962677
 2.380000 -1.422841 1.338021 1.500681
 2.400000 -1.574644 1.389580 1.583407
 2.420000 -1.500668 1.313655 1.548720
 2.440000 -1.569411 1.389476 1.581283
 2.460000 -1.473235 1.457453 1.533188
 2.480000 -1.337957 1.340152 1.433799
 2.500000 -1.517865 1.372455 1.557703
 2.520000 -1.471420 1.459447 1.532107
 2.540000 -1.450076 1.407656 1.518898
 2.560000 -1.679265 1.436561 1.616228
 2.580000 -1.439719 1.601457 1.512152
 2.600000 -1.182509 1.259459 1.272042
 2.620000 -1.240751 1.421989 1.338363
 2.640000 -0.937637 1.404147 0.938531
 2.660000 -0.955767 1.152116 0.965098
 2.680000 -0.915246 1.218317 0.905583
 2.700000 -1.037078 1.240448 1.081859
 2.720000 -1.322426 1.269373 1.419894
 2.740000 -1.468678 1.330675 1.530462
 2.760000 -1.553405 1.182964 1.574485
 2.780000 -1.666279 1.181486 1.613102
 2.800000 -1.761723 1.239987 1.630358
 2.820000 -1.665740 1.026717 1.612967
 2.840000 -2.033325 1.060813 1.611156
 2.860000 -1.878880 0.847792 1.634535
 2.880000 -2.074524 1.096480 1.598675
 2.900000 -2.154195 0.814246 1.565927
 2.920000 -1.987304 0.876924 1.621816
 2.940000 -2.024058 0.769403 1.613574
 2.960000 -2.072920 0.787717 1.599216
 2.980000 -1.896325 0.675107 1.633597
 3.000000 -1.926329 0.681581 1.631007
 3.020000 -2.067618 0.574864 2.680656
 3.040000 -1.942479 0.771848 2.744520
 3.060000 -1.843925 0.583606 2.738641
 3.080000 -1.730895 0.540771 2.673832
 3.100000 -1.576295 0.679702 2.495394
 3.120000 -1.546974 0.468786 2.451297
 3.140000 -1.514233 0.640230 2.398648
 3.160000 -1.189216 0.415335 1.734576
 3.180000 -1.312852 0.660548 2.010118
 3.200000 -1.222595 0.615923 1.810571
 3.220000 -1.021865 0.653789 1.349080
 3.240000 -1.273286 0.582173 1.923945
 3.260000 -1.419053 0.785920 2.227325
 3.280000 -1.390620 0.733715 2.171524
 3.300000 -1.812294 0.951383 2.726563
 3.320000 -1.614422 0.798541 2.548145
 3.340000 -1.734701 1.104853 2.676971
 3.360000 -1.755366 1.070609 2.692879
 3.380000 -1.484980 1.027353 2.348746
 3.400000 -1.234174 1.118162 1.836714
 3.420000 -1.298233 1.099840 1.978553
 3.440000 -1.184256 1.263556 1.723214
 3.460000 -1.025915 1.307586 1.358321
 3.480000 -1.292520 1.289820 1.966126
 3.500000 -1.215847 1.534936 1.795280
 3.520000 -1.485210 1.581962 2.349149
 3.540000 -1.408419 1.480962 2.206681
 3.560000 -1.465262 1.662951 2.313679
 3.580000 -1.430515 1.511891 2.249263
 3.600000 -1.576840 1.752782 2.496185
 3.620000 -1.474843 1.576435 2.330857
 3.640000 -1.642595 1.763063 2.583603
 3.660000 -1.755378 1.603051 2.692888
 3.680000 -1.806894 1.826104 2.724021
 3.700000 -1.752462 1.787208 2.690760
 3.720000 -1.583482 1.849241 2.505742
 3.740000 -1.636512 1.952505 2.576209
 3.760000 -1.723209 1.913093 2.667298
 3.780000 -1.628285 1.973192 2.565978
 3.800000 -1.468035 2.052416 2.318677
 3.820000 -1.325996 1.993701 2.038199
 3.840000 -1.281070 2.119855 1.941078
 3.860000 -1.324146 2.213339 2.034266
 3.880000 -1.239513 1.968346 1.848723
 3.900000 -1.051837 2.123514 1.417712
 3.920000 -1.139989 2.096424 1.621293
 3.940000 -1.160538 2.291617 1.668704
 3.960000 -1.244618 2.101343 1.860177
 3.980000 -1.248845 2.306979 1.869641
 4.000000 -1.250236 2.123101 1.872750
 4.020000 -1.178717 2.268002 2.805168
 4.040000 -1.389202 2.144743 3.237962
 4.060000 -1.244110 2.140620 2.962912
 4.080000 -1.313513 2.240716 3.108209
 4.100000 -1.247045 2.067314 2.969536
 4.120000 -1.193868 2.184307 2.843389
 4.140000 -1.480669 2.152513 3.352362
 4.160000 -1.501881 2.327626 3.372140
 4.180000 -1.456507 2.197794 3.326731
 4.200000 -1.364305 2.379664 3.198707
 4.220000 -1.366450 2.288452 3.202223
 4.240000 -1.496702 2.277090 3.367546
 4.260000 -1.395686 2.276312 3.247623
 4.280000 -1.303422 2.388908 3.088601
 4.300000 -1.392852 2.232675 3.243428
 4.320000 -1.356631 2.433580 3.185923
 4.340000 -1.629039 2.243207 3.437784
 4.360000 -1.495485 2.348668 3.366445
 4.380000 -1.454912 2.374879 3.324923
 4.400000 -1.407552 2.146652 3.264692
 4.420000 -1.745517 2.281289 3.421512
 4.440000 -1.761443 2.188105 3.413923
 4.460000 -1.766662 2.292960 3.411166
 4.480000 -1.720022 2.166768 3.431035
 4.500000 -1.749199 2.313000 3.419868
 4.520000 -1.854979 2.195075 3.344864
 4.540000 -1.715143 2.313363 3.432485
 4.560000 -1.610877 2.119794 3.433872
 4.580000 -1.581118 2.261455 3.423568
 4.600000 -1.626206 2.386623 3.437291
 4.620000 -1.748681 2.399724 3.420103
 4.640000 -1.625406 2.547765 3.437144
 4.660000 -1.647746 2.518889 3.439953
 4.680000 -1.656843 2.631874 3.440332
 4.700000 -1.658658 2.600123 3.440356
 4.720000 -1.632482 2.648460 3.438324
 4.740000 -1.477662 2.669394 3.349352
 4.760000 -1.588738 2.584802 3.426670
 4.780000 -1.465081 2.480763 3.336205
 4.800000 -1.610934 2.609355 3.433887
 4.820000 -1.623217 2.540534 3.436725
 4.840000 -1.463134 2.659031 3.334090
 4.860000 -1.631311 2.510688 3.438148
 4.880000 -1.770491 2.602889 3.409059
 4.900000 -1.885450 2.587940 3.313690
 4.920000 -1.933705 2.533520 3.256050
 4.940000 -1.874480 2.485673 3.325388
 4.960000 -1.886921 2.548603 3.312081
 4.980000 -1.899632 2.461340 3.297788
 5.000000 -1.880691 2.295004 3.318830
 5.020000 -1.839542 2.477814 4.391259
 5.040000 -1.907510 2.278680 4.322422
 5.060000 -2.075889 2.520399 4.003282
 5.080000 -2.261397 2.322577 3.447098
 5.100000 -2.368594 2.491685 3.058695
 5.120000 -2.533874 2.515361 2.418235
 5.140000 -2.688363 2.448314 1.830824
 5.160000 -2.651760 2.514474 1.965991
 5.180000 -2.779869 2.440945 1.509745
 5.200000 -2.504442 2.647660 2.533285
 5.220000 -2.596150 2.421363 2.176824
 5.240000 -2.649053 2.541989 1.976110
 5.260000 -2.706482 2.500699 1.765204
 5.280000 -2.835167 2.641798 1.329762
 5.300000 -2.717214 2.795771 1.726780
 5.320000 -2.772077 2.867513 1.536018
 5.340000 -2.788902 3.124256 1.479560
 5.360000 -2.715481 3.125519 1.732962
 5.380000 -2.579032 -3.128645 2.242761
 5.400000 -2.411267 -3.003640 2.895996
 5.420000 -2.319280 -2.895772 3.241701
 5.440000 -2.255534 -2.977020 3.467223
 5.460000 -2.347292 -3.070228 3.138510
 5.480000 -2.226625 -2.968218 3.564376
 5.500000 -2.460084 -3.091637 2.706685
 5.520000 -2.331038 -3.048384 3.198654
 5.540000 -2.719045 2.986605 1.720261
 5.560000 -2.691110 3.076968 1.820818
 5.580000 -2.963408 2.826281 0.960499
 5.600000 -2.875209 2.737952 1.206967
 5.620000 -2.786739 2.836799 1.486763
 5.640000 -2.662795 2.601647 1.924898
 5.660000 -2.563885 2.505711 2.301409
 5.680000 -2.636353 2.187668 2.023810
 5.700000 -2.355731 2.369325 3.107018
 5.720000 -2.258503 2.310054 3.457048
 5.740000 -2.134293 2.387047 3.848172
 5.760000 -2.336718 2.336047 3.177717
 5.780000 -2.470945 2.189497 2.664289
 5.800000 -2.400359 2.295567 2.937887
 5.820000 -2.252834 2.198123 3.476442
 5.840000 -2.309708 2.272108 3.276443
 5.860000 -2.130639 2.111343 3.858468
 5.880000 -2.083264 2.156539 3.984849
 5.900000 -1.953497 2.069030 4.255622
 5.920000 -2.010464 2.187498 4.151146
 5.940000 -2.081163 1.960716 3.990136
 5.960000 -2.107065 2.179833 3.923042
 5.980000 -2.076371 2.438233 4.002090
 6.000000 -2.128659 2.323931 3.864018
 6.020000 -2.184898 2.358070 4.702969
 6.040000 -2.390830 2.343853 3.876081
 6.060000 -2.255058 2.681963 4.452768
 6.080000 -2.107386 2.483661 4.931668
 6.100000 -2.081088 2.592324 4.996797
 6.120000 -2.121171 2.756778 4.894942
 6.140000 -2.236123 2.783236 4.523988
 6.160000 -2.401865 2.577644 3.825108
 6.180000 -2.474982 2.516201 3.477089
 6.200000 -2.656514 2.828973 2.585665
 6.220000 -3.014678 2.769924 1.109027
 6.240000 -3.040318 2.707279 1.029444
 6.260000 3.048442 2.571995 0.548611
 6.280000 -3.061427 2.860268 0.966869
 6.300000 -2.775373 2.967978 2.030943
 6.320000 -2.603359 2.947517 2.845279
 6.340000 -2.446150 2.882722 3.616163
 6.360000 -2.321065 2.991466 4.185469
